1201 21 
1300 14 
1300 22 
1301 18 
1400 13 
1400 16 
1400 19 
1400 20 
1400 31 
1401 15 
1401 17 
1401 18 
1401 20 
1401 30 
1402 15 
1500 13 
1500 14 
1500 15 
1500 17 
1500 18 
1500 21 
1500 27 
1500 28 
1501 12 
1501 14 
1501 16 
1501 18 
1501 20 
1501 26 
1502 25 
1600 13 
1600 14 
1600 15 
1600 17 
1600 20 
1601 11 
1601 12 
1601 13 
1601 14 
1601 16 
1601 17 
1601 24 
1602 13 
1602 15 
1602 23 
1700 12 
1700 15 
1700 16 
1700 19 
1700 20 
1701 13 
1701 14 
1701 15 
1701 16 
1701 17 
1701 19 
1702 10 
1702 12 
1702 13 
1702 14 
1702 15 
1702 22 
1703 12 
1800 14 
1801 11 
1801 13 
1801 16 
1801 17 
1802 14 
1802 15 
1802 16 
1802 20 
1803 13 
1803 14 
1901 13 
1902 10 
1902 12 
1902 15 
1903 13 
1903 14 
1903 15 
1904 12 
1904 13 
2002 12 
2003 11 
2003 14 
2003 9 
2004 13 
2004 14 
2104 13 
