1000 4 
1000 8 
1001 1 
1001 2 
1001 5 
1001 6 
1002 0 
1002 2 
1002 3 
1002 4 
1002 5 
1003 1 
1003 2 
1004 4 
1100 3 
1101 0 
1101 2 
1101 3 
1102 1 
1102 2 
1102 3 
1103 1 
1103 2 
1104 1 
1201 1 
1202 2 
1203 0 
1203 1 
1302 0 
600 7 
600 8 
600 9 
601 6 
601 7 
700 4 
700 6 
701 15 
701 3 
701 5 
701 6 
701 7 
702 14 
702 5 
702 6 
800 3 
800 4 
800 5 
800 7 
801 11 
801 12 
801 2 
801 3 
801 4 
801 5 
801 6 
802 2 
802 4 
802 7 
803 10 
803 4 
900 2 
900 3 
900 6 
901 1 
901 10 
901 3 
901 4 
901 5 
901 8 
902 1 
902 2 
902 3 
902 4 
902 6 
902 9 
903 3 
903 5 
